0,1.0,9,1,222,1,pyaes_generation,small
1,8.0,210,1,2937,2,lr_prediction,small
2,8.0,468,1,2084,2,rnn_name_generation,long
3,8.0,468,1,2084,3,rnn_name_generation,long
4,8.0,468,1,2084,6,rnn_name_generation,small
5,1.0,8,1,219,6,float_operation,small
6,8.0,29,1,372,6,linpack,small
7,8.0,212,1,4744,7,lr_train,medium
8,8.0,210,1,2937,8,lr_prediction,long
9,2.0,38,1,585,8,chameleon_rendering,medium
10,8.0,468,1,2084,8,rnn_name_generation,long
11,8.0,29,1,372,8,linpack,long
12,8.0,212,1,4744,8,lr_train,long
13,8.0,41,1,456,8,matmul,small
14,8.0,29,1,372,8,linpack,long
15,8.0,212,1,4744,8,lr_train,long
16,1.0,9,1,222,8,pyaes_generation,medium
17,8.0,210,1,2937,8,lr_prediction,medium
18,1.0,9,1,222,8,pyaes_generation,long
19,8.0,210,1,2937,8,lr_prediction,medium
20,2.0,38,1,585,9,chameleon_rendering,small
21,8.0,210,1,2937,9,lr_prediction,medium
22,8.0,41,1,456,10,matmul,medium
23,1.0,8,1,219,12,float_operation,medium
24,8.0,468,1,2084,13,rnn_name_generation,small
25,1.0,8,1,219,13,float_operation,long
26,8.0,468,1,2084,14,rnn_name_generation,small
27,8.0,212,1,4744,16,lr_train,small
28,8.0,468,1,2084,17,rnn_name_generation,medium
29,2.0,38,1,585,18,chameleon_rendering,long
30,8.0,41,1,456,21,matmul,small
31,1.0,9,1,222,22,pyaes_generation,small
32,8.0,29,1,372,22,linpack,long
33,2.0,38,1,585,22,chameleon_rendering,medium
34,8.0,41,1,456,24,matmul,medium
35,2.0,38,1,585,24,chameleon_rendering,small
36,1.0,8,1,219,25,float_operation,small
37,8.0,212,1,4744,25,lr_train,long
38,8.0,41,1,456,25,matmul,medium
39,1.0,9,1,222,26,pyaes_generation,long
40,8.0,29,1,372,26,linpack,long
41,1.0,9,1,222,26,pyaes_generation,medium
42,1.0,9,1,222,26,pyaes_generation,small
43,1.0,8,1,219,26,float_operation,small
44,8.0,210,1,2937,26,lr_prediction,long
45,8.0,212,1,4744,27,lr_train,medium
46,8.0,468,1,2084,30,rnn_name_generation,medium
47,8.0,212,1,4744,32,lr_train,long
48,1.0,8,1,219,34,float_operation,medium
49,1.0,8,1,219,34,float_operation,medium
50,8.0,41,1,456,35,matmul,long
51,8.0,29,1,372,35,linpack,medium
52,1.0,8,1,219,38,float_operation,medium
53,1.0,8,1,219,41,float_operation,medium
54,8.0,41,1,456,41,matmul,long
55,2.0,38,1,585,41,chameleon_rendering,long
56,8.0,41,1,456,41,matmul,long
57,8.0,29,1,372,42,linpack,long
58,1.0,8,1,219,42,float_operation,small
59,8.0,212,1,4744,42,lr_train,long
60,8.0,210,1,2937,42,lr_prediction,long
61,8.0,41,1,456,44,matmul,long
62,2.0,38,1,585,46,chameleon_rendering,medium
63,8.0,29,1,372,46,linpack,medium
